index	module_path	qualname	kind	lineno	end_lineno
0002	src/mindroom/agent_descriptions.py	describe_agent	function	17	55
0003	src/mindroom/agent_policy.py	AgentPolicySeed	class	21	30
0003	src/mindroom/agent_policy.py	ResolvedAgentPolicy	class	34	46
0003	src/mindroom/agent_policy.py	ResolvedAgentPolicyIndex	class	50	55
0003	src/mindroom/agent_policy.py	_coerce_worker_scope	function	58	61
0003	src/mindroom/agent_policy.py	_coerce_private_scope	function	64	67
0003	src/mindroom/agent_policy.py	_build_agent_policy_seed	function	70	117
0003	src/mindroom/agent_policy.py	build_agent_policy_seeds	function	120	133
0003	src/mindroom/agent_policy.py	_resolved_scope_and_source	function	136	143
0003	src/mindroom/agent_policy.py	dashboard_credentials_supported_for_scope	function	146	148
0003	src/mindroom/agent_policy.py	_resolve_agent_policy	function	151	178
0003	src/mindroom/agent_policy.py	resolve_agent_policy_from_data	function	181	198
0003	src/mindroom/agent_policy.py	get_agent_delegation_closure	function	201	230
0003	src/mindroom/agent_policy.py	get_private_team_targets	function	233	251
0003	src/mindroom/agent_policy.py	get_unsupported_team_agents	function	254	270
0003	src/mindroom/agent_policy.py	_team_eligibility_reason	function	273	290
0003	src/mindroom/agent_policy.py	unsupported_team_agent_message	function	293	313
0003	src/mindroom/agent_policy.py	resolve_agent_policy_index	function	316	346
0003	src/mindroom/agent_policy.py	resolve_private_knowledge_base_agent	function	349	368
0004	src/mindroom/agent_prompts.py	build_agent_identity_context	function	20	35
0005	src/mindroom/agent_run_context.py	append_knowledge_availability_enrichment	function	16	27
0005	src/mindroom/agent_run_context.py	prepend_knowledge_availability_notice	function	30	36
0006	src/mindroom/agent_storage.py	get_agent_runtime_state_dbs	function	34	39
0006	src/mindroom/agent_storage.py	create_state_storage	function	42	55
0006	src/mindroom/agent_storage.py	_create_sqlite_state_storage	function	58	68
0006	src/mindroom/agent_storage.py	create_session_storage	function	71	85
0006	src/mindroom/agent_storage.py	_create_agent_state_db	function	88	109
0006	src/mindroom/agent_storage.py	create_culture_storage	function	112	116
0006	src/mindroom/agent_storage.py	get_agent_session	function	119	128
0006	src/mindroom/agent_storage.py	get_team_session	function	131	140
